FUENTE Seccion Especie LATITUD LONGITUD Elevacion Temperatura  Precipitacion
ANTERIOR Quercus glaucoides 16.81670000000 -96.33330000000 1801 169 683
ANTERIOR Quercus glaucoides 18.14170000000 -97.79170000000 1801 184 646
ANTERIOR Quercus glaucoides 17.94210000000 -97.87010000000 0 0 0
ANTERIOR Quercus glaucoides 18.10670000000 -97.65170000000 1806 173 643
ANTERIOR Quercus glaucoides 16.83800000000 -96.36890000000 1910 164 763
ANTERIOR Quercus glaucoides 18.16360000000 -97.60330000000 0 0 0
ANTERIOR Quercus glaucoides 18.01170000000 -97.65500000000 2001 168 668
ANTERIOR Quercus glaucoides 17.28330000000 -96.55000000000 1986 160 832
ANTERIOR Quercus glaucoides 18.20000000000 -97.03330000000 0 0 0
ANTERIOR Quercus glaucoides 18.03330000000 -97.68330000000 2001 166 657
ANTERIOR Quercus glaucoides 17.86670000000 -97.40000000000 2201 156 562
ANTERIOR Quercus glaucoides 18.18500000000 -97.60060000000 0 0 0
ANTERIOR Quercus glaucoides 17.89800000000 -97.38300000000 2201 154 568
ANTERIOR Quercus glaucoides 18.07940000000 -97.53030000000 0 0 0
ANTERIOR Quercus glaucoides 18.07970000000 -97.53030000000 0 0 0
ANTERIOR Quercus glaucoides 17.53330000000 -96.55000000000 2245 148 1378
ANTERIOR Quercus glaucoides 18.19860000000 -97.55780000000 0 0 0
ANDRES Quercus glaucoides 17.97650000000 -96.81100000000 1606 186 1986
ANDRES Quercus glaucoides 17.42780000000 -96.96140000000 2001 165 692
ANDRES Quercus glaucoides 16.21570000000 -97.11810000000 1813 181 1268
ANDRES Quercus glaucoides 16.77810000000 -97.06180000000 2065 179 994
ANDRES Quercus greggii 18.02940000000 -97.27330000000 2238 144 717
ANDRES Quercus greggii 17.70500000000 -97.15860000000 2262 150 718
ANDRES Quercus greggii 17.64640000000 -97.14440000000 2043 149 746
ANDRES Quercus greggii 17.54860000000 -97.35580000000 2209 159 705
ANTERIOR Quercus greggii 17.71670000000 -97.16670000000 2208 150 698
ANTERIOR Quercus greggii 18.06670000000 -97.31670000000 2797 128 1018
ANDRES Quercus insignis 17.97940000000 -96.75040000000 806 215 2746
ANDRES Quercus insignis 16.67830000000 -94.25580000000 1597 185 1488
ANDRES Quercus insignis 17.24220000000 -96.05170000000 2196 145 1922
ANDRES Quercus insignis 16.54920000000 -95.68830000000 1073 202 1105
ANDRES Quercus insignis 16.73670000000 -95.55920000000 1046 198 1406
ANDRES Quercus insignis 16.69190000000 -95.49580000000 1739 168 1610
ANDRES Quercus insignis 16.90730000000 -95.92800000000 1208 193 1591
ANTERIOR Quercus insignis 17.23510000000 -96.21960000000 1590 179 1528
ANTERIOR Quercus insignis 16.57000000000 -94.13000000000 0 0 0
ANTERIOR Quercus insignis 17.23500000000 -96.22000000000 1590 170 1510
ANTERIOR Quercus insignis 16.55910000000 -94.18750000000 0 0 0
ANDRES Quercus laeta 17.77890000000 -97.10110000000 1976 157 670
ANDRES Quercus laeta 17.59440000000 -97.19360000000 2401 150 754
ANDRES Quercus laeta 17.66830000000 -97.16190000000 2351 148 764
ANDRES Quercus laeta 17.72660000000 -97.10310000000 2381 147 782
ANDRES Quercus laeta 17.86000000000 -97.13220000000 1801 163 726
ANDRES Quercus laeta 17.54860000000 -97.35580000000 2209 159 705
ANDRES Quercus laeta 17.85480000000 -97.21380000000 2001 159 631
ANTERIOR Quercus laeta 17.77000000000 -97.36000000000 2001 159 550
ANTERIOR Quercus laeta 17.93000000000 -97.35000000000 2201 150 592
ANTERIOR Quercus laeta 17.26670000000 -97.68330000000 2201 168 1055
ANTERIOR Quercus laeta 17.27500000000 -97.69170000000 2201 167 1038
ANDRES Quercus laeta 16.66800000000 -94.24850000000 1474 199 1345
ANDRES Quercus laeta 17.26330000000 -97.85710000000 2167 157 1227
ANDRES Quercus laeta 17.34500000000 -97.84360000000 1801 186 804
ANDRES Quercus laeta 17.27530000000 -97.84080000000 2178 159 1172
ANDRES Quercus laeta 17.26330000000 -97.89640000000 2406 145 1344
ANDRES Quercus laeta 17.30470000000 -97.88390000000 2232 162 1176
ANDRES Quercus laeta 17.28560000000 -97.84060000000 2017 171 1162
ANDRES Quercus laeta 17.28780000000 -97.80000000000 1965 174 1107
ANDRES Quercus laeta 17.38720000000 -97.79610000000 2218 165 1016
ANDRES Quercus laeta 17.34460000000 -97.77920000000 2237 158 1054
ANDRES Quercus laeta 17.34460000000 -97.77080000000 2391 159 1035
